O*NET-SOC,Career_Title,Short_Description,Attributes,Job_Zone
53-2021.00,Air Traffic Controllers,,Air Traffic Controllers|Air|Traffic|Controllers,
53-1041.00,Aircraft Cargo Handling Supervisors,,Aircraft Cargo Handling Supervisors|Aircraft|Cargo|Handling|Supervisors,
55-1012.00,Aircraft Launch and Recovery Officers,,Aircraft Launch and Recovery Officers|Aircraft|Launch|and|Recovery|Officers,
55-3012.00,Aircraft Launch and Recovery Specialists,,Aircraft Launch and Recovery Specialists|Aircraft|Launch|and|Recovery|Specialists,
49-3011.00,Aircraft Mechanics and Service Technicians,,Aircraft Mechanics and Service Technicians|Aircraft|Mechanics|and|Service|Technicians,
53-6032.00,Aircraft Service Attendants,,Aircraft Service Attendants|Aircraft|Service|Attendants,
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers|Aircraft|Structure,|Surfaces,|Rigging,|and",
53-2022.00,Airfield Operations Specialists,,Airfield Operations Specialists|Airfield|Operations|Specialists,
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",,"Airline Pilots, Copilots, and Flight Engineers|Airline|Pilots,|Copilots,|and|Flight",
29-1229.01,Allergists and Immunologists,,Allergists and Immunologists|Allergists|and|Immunologists,
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians|Ambulance|Drivers|and|Attendants,|Except",
39-3091.00,Amusement and Recreation Attendants,,Amusement and Recreation Attendants|Amusement|and|Recreation|Attendants,
29-1071.01,Anesthesiologist Assistants,,Anesthesiologist Assistants|Anesthesiologist|Assistants,
29-1211.00,Anesthesiologists,,Anesthesiologists|Anesthesiologists,
45-2021.00,Animal Breeders,,Animal Breeders|Animal|Breeders,
39-2021.00,Animal Caretakers,,Animal Caretakers|Animal|Caretakers,
33-9011.00,Animal Control Workers,,Animal Control Workers|Animal|Control|Workers,
19-1011.00,Animal Scientists,,Animal Scientists|Animal|Scientists,
39-2011.00,Animal Trainers,,Animal Trainers|Animal|Trainers,
19-3091.00,Anthropologists and Archeologists,,Anthropologists and Archeologists|Anthropologists|and|Archeologists,
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",,"Anthropology and Archeology Teachers, Postsecondary|Anthropology|and|Archeology|Teachers,|Postsecondary",
13-2023.00,Appraisers and Assessors of Real Estate,,Appraisers and Assessors of Real Estate|Appraisers|and|Assessors|Real|Estate,
13-2022.00,Appraisers of Personal and Business Property,,Appraisers of Personal and Business Property|Appraisers|Personal|and|Business|Property,
23-1022.00,"Arbitrators, Mediators, and Conciliators",,"Arbitrators, Mediators, and Conciliators|Arbitrators,|Mediators,|and|Conciliators",
17-1011.00,"Architects, Except Landscape and Naval",,"Architects, Except Landscape and Naval|Architects,|Except|Landscape|and|Naval",
17-3011.00,Architectural and Civil Drafters,,Architectural and Civil Drafters|Architectural|and|Civil|Drafters,
11-9041.00,Architectural and Engineering Managers,,Architectural and Engineering Managers|Architectural|and|Engineering|Managers,
25-1031.00,"Architecture Teachers, Postsecondary",,"Architecture Teachers, Postsecondary|Architecture|Teachers,|Postsecondary",
25-4011.00,Archivists,,Archivists|Archivists,
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary|Area,|Ethnic,|and|Cultural|Studies",
55-3013.00,Armored Assault Vehicle Crew Members,,Armored Assault Vehicle Crew Members|Armored|Assault|Vehicle|Crew|Members,
55-1013.00,Armored Assault Vehicle Officers,,Armored Assault Vehicle Officers|Armored|Assault|Vehicle|Officers,
27-1011.00,Art Directors,,Art Directors|Art|Directors,
29-1129.01,Art Therapists,,Art Therapists|Art|Therapists,
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",,"Art, Drama, and Music Teachers, Postsecondary|Art,|Drama,|and|Music|Teachers,",
55-3014.00,Artillery and Missile Crew Members,,Artillery and Missile Crew Members|Artillery|and|Missile|Crew|Members,
55-1014.00,Artillery and Missile Officers,,Artillery and Missile Officers|Artillery|and|Missile|Officers,
27-1019.00,"Artists and Related Workers, All Other",,"Artists and Related Workers, All Other|Artists|and|Related|Workers,|All",
51-2099.00,"Assemblers and Fabricators, All Other",,"Assemblers and Fabricators, All Other|Assemblers|and|Fabricators,|All|Other",
19-2011.00,Astronomers,,Astronomers|Astronomers,
27-2021.00,Athletes and Sports Competitors,,Athletes and Sports Competitors|Athletes|and|Sports|Competitors,
29-9091.00,Athletic Trainers,,Athletic Trainers|Athletic|Trainers,
19-2021.00,Atmospheric and Space Scientists,,Atmospheric and Space Scientists|Atmospheric|and|Space|Scientists,
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary|Atmospheric,|Earth,|Marine,|and|Space",
27-4011.00,Audio and Video Technicians,,Audio and Video Technicians|Audio|and|Video|Technicians,
29-1181.00,Audiologists,,Audiologists|Audiologists,
49-2097.00,Audiovisual Equipment Installers and Repairers,,Audiovisual Equipment Installers and Repairers|Audiovisual|Equipment|Installers|and|Repairers,
53-6031.00,Automotive and Watercraft Service Attendants,,Automotive and Watercraft Service Attendants|Automotive|and|Watercraft|Service|Attendants,
49-3021.00,Automotive Body and Related Repairers,,Automotive Body and Related Repairers|Automotive|Body|and|Related|Repairers,
17-3027.01,Automotive Engineering Technicians,,Automotive Engineering Technicians|Automotive|Engineering|Technicians,
17-2141.02,Automotive Engineers,,Automotive Engineers|Automotive|Engineers,
49-3022.00,Automotive Glass Installers and Repairers,,Automotive Glass Installers and Repairers|Automotive|Glass|Installers|and|Repairers,
49-3023.00,Automotive Service Technicians and Mechanics,,Automotive Service Technicians and Mechanics|Automotive|Service|Technicians|and|Mechanics,
53-6051.01,Aviation Inspectors,,Aviation Inspectors|Aviation|Inspectors,
49-2091.00,Avionics Technicians,,Avionics Technicians|Avionics|Technicians,
39-6011.00,Baggage Porters and Bellhops,,Baggage Porters and Bellhops|Baggage|Porters|and|Bellhops,
33-3011.00,Bailiffs,,Bailiffs|Bailiffs,
51-3011.00,Bakers,,Bakers|Bakers,
39-5011.00,Barbers,,Barbers|Barbers,
35-3023.01,Baristas,,Baristas|Baristas,
35-3011.00,Bartenders,,Bartenders|Bartenders,
49-3091.00,Bicycle Repairers,,Bicycle Repairers|Bicycle|Repairers,
43-3011.00,Bill and Account Collectors,,Bill and Account Collectors|Bill|and|Account|Collectors,
43-3021.00,Billing and Posting Clerks,,Billing and Posting Clerks|Billing|and|Posting|Clerks,
19-1021.00,Biochemists and Biophysicists,,Biochemists and Biophysicists|Biochemists|and|Biophysicists,
17-2031.00,Bioengineers and Biomedical Engineers,,Bioengineers and Biomedical Engineers|Bioengineers|and|Biomedical|Engineers,
51-8099.01,Biofuels Processing Technicians,,Biofuels Processing Technicians|Biofuels|Processing|Technicians,
11-3051.03,Biofuels Production Managers,,Biofuels Production Managers|Biofuels|Production|Managers,
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,Biofuels/Biodiesel Technology and Product Development Managers|Biofuels|Biodiesel|Technology|and|Product,
19-1029.01,Bioinformatics Scientists,,Bioinformatics Scientists|Bioinformatics|Scientists,
15-2099.01,Bioinformatics Technicians,,Bioinformatics Technicians|Bioinformatics|Technicians,
25-1042.00,"Biological Science Teachers, Postsecondary",,"Biological Science Teachers, Postsecondary|Biological|Science|Teachers,|Postsecondary",
19-1029.00,"Biological Scientists, All Other",,"Biological Scientists, All Other|Biological|Scientists,|All|Other",
19-4021.00,Biological Technicians,,Biological Technicians|Biological|Technicians,
19-1029.04,Biologists,,Biologists|Biologists,
51-8013.03,Biomass Plant Technicians,,Biomass Plant Technicians|Biomass|Plant|Technicians,
11-3051.04,Biomass Power Plant Managers,,Biomass Power Plant Managers|Biomass|Power|Plant|Managers,
15-2041.01,Biostatisticians,,Biostatisticians|Biostatisticians,
15-1299.07,Blockchain Engineers,,Blockchain Engineers|Blockchain|Engineers,
47-2011.00,Boilermakers,,Boilermakers|Boilermakers,
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",,"Bookkeeping, Accounting, and Auditing Clerks|Bookkeeping,|Accounting,|and|Auditing|Clerks",
47-2021.00,Brickmasons and Blockmasons,,Brickmasons and Blockmasons|Brickmasons|and|Blockmasons,
53-6011.00,Bridge and Lock Tenders,,Bridge and Lock Tenders|Bridge|and|Lock|Tenders,
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,,Broadcast Announcers and Radio Disc Jockeys|Broadcast|Announcers|and|Radio|Disc,
27-4012.00,Broadcast Technicians,,Broadcast Technicians|Broadcast|Technicians,
43-4011.00,Brokerage Clerks,,Brokerage Clerks|Brokerage|Clerks,
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,Brownfield Redevelopment Specialists and Site Managers|Brownfield|Redevelopment|Specialists|and|Site,
13-2031.00,Budget Analysts,,Budget Analysts|Budget|Analysts,
37-2019.00,"Building Cleaning Workers, All Other",,"Building Cleaning Workers, All Other|Building|Cleaning|Workers,|All|Other",
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,,Bus and Truck Mechanics and Diesel Engine Specialists|Bus|and|Truck|Mechanics|and,
53-3051.00,"Bus Drivers, School",,"Bus Drivers, School|Bus|Drivers,|School",
53-3052.00,"Bus Drivers, Transit and Intercity",,"Bus Drivers, Transit and Intercity|Bus|Drivers,|Transit|and|Intercity",
13-1199.04,Business Continuity Planners,,Business Continuity Planners|Business|Continuity|Planners,
15-2051.01,Business Intelligence Analysts,,Business Intelligence Analysts|Business|Intelligence|Analysts,
13-1199.00,"Business Operations Specialists, All Other",,"Business Operations Specialists, All Other|Business|Operations|Specialists,|All|Other",
25-1011.00,"Business Teachers, Postsecondary",,"Business Teachers, Postsecondary|Business|Teachers,|Postsecondary",
51-3021.00,Butchers and Meat Cutters,,Butchers and Meat Cutters|Butchers|and|Meat|Cutters,
13-1021.00,"Buyers and Purchasing Agents, Farm Products",,"Buyers and Purchasing Agents, Farm Products|Buyers|and|Purchasing|Agents,|Farm",
51-7011.00,Cabinetmakers and Bench Carpenters,,Cabinetmakers and Bench Carpenters|Cabinetmakers|and|Bench|Carpenters,
17-3028.00,Calibration Technologists and Technicians,,Calibration Technologists and Technicians|Calibration|Technologists|and|Technicians,
49-9061.00,Camera and Photographic Equipment Repairers,,Camera and Photographic Equipment Repairers|Camera|and|Photographic|Equipment|Repairers,
27-4031.00,"Camera Operators, Television, Video, and Film",,"Camera Operators, Television, Video, and Film|Camera|Operators,|Television,|Video,|and",
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",,"Captains, Mates, and Pilots of Water Vessels|Captains,|Mates,|and|Pilots|Water",
29-1212.00,Cardiologists,,Cardiologists|Cardiologists,
29-2031.00,Cardiovascular Technologists and Technicians,,Cardiovascular Technologists and Technicians|Cardiovascular|Technologists|and|Technicians,
25-2023.00,"Career/Technical Education Teachers, Middle School",,"Career/Technical Education Teachers, Middle School|Career|Technical|Education|Teachers,|Middle",
25-1194.00,"Career/Technical Education Teachers, Postsecondary",,"Career/Technical Education Teachers, Postsecondary|Career|Technical|Education|Teachers,|Postsecondary",
25-2032.00,"Career/Technical Education Teachers, Secondary School",,"Career/Technical Education Teachers, Secondary School|Career|Technical|Education|Teachers,|Secondary",
43-5011.00,Cargo and Freight Agents,,Cargo and Freight Agents|Cargo|and|Freight|Agents,
47-2031.00,Carpenters,,Carpenters|Carpenters,
47-2041.00,Carpet Installers,,Carpet Installers|Carpet|Installers,
17-1021.00,Cartographers and Photogrammetrists,,Cartographers and Photogrammetrists|Cartographers|and|Photogrammetrists,
41-2011.00,Cashiers,,Cashiers|Cashiers,
47-2051.00,Cement Masons and Concrete Finishers,,Cement Masons and Concrete Finishers|Cement|Masons|and|Concrete|Finishers,
35-1011.00,Chefs and Head Cooks,,Chefs and Head Cooks|Chefs|and|Head|Cooks,
17-2041.00,Chemical Engineers,,Chemical Engineers|Chemical|Engineers,
51-9011.00,Chemical Equipment Operators and Tenders,,Chemical Equipment Operators and Tenders|Chemical|Equipment|Operators|and|Tenders,
51-8091.00,Chemical Plant and System Operators,,Chemical Plant and System Operators|Chemical|Plant|and|System|Operators,
19-4031.00,Chemical Technicians,,Chemical Technicians|Chemical|Technicians,
25-1052.00,"Chemistry Teachers, Postsecondary",,"Chemistry Teachers, Postsecondary|Chemistry|Teachers,|Postsecondary",
19-2031.00,Chemists,,Chemists|Chemists,
11-1011.00,Chief Executives,,Chief Executives|Chief|Executives,
11-1011.03,Chief Sustainability Officers,,Chief Sustainability Officers|Chief|Sustainability|Officers,
21-1021.00,"Child, Family, and School Social Workers",,"Child, Family, and School Social Workers|Child,|Family,|and|School|Social",
39-9011.00,Childcare Workers,,Childcare Workers|Childcare|Workers,
29-1011.00,Chiropractors,,Chiropractors|Chiropractors,
27-2032.00,Choreographers,,Choreographers|Choreographers,
17-3022.00,Civil Engineering Technologists and Technicians,,Civil Engineering Technologists and Technicians|Civil|Engineering|Technologists|and|Technicians,
17-2051.00,Civil Engineers,,Civil Engineers|Civil|Engineers,
13-1031.00,"Claims Adjusters, Examiners, and Investigators",,"Claims Adjusters, Examiners, and Investigators|Claims|Adjusters,|Examiners,|and|Investigators",
53-7061.00,Cleaners of Vehicles and Equipment,,Cleaners of Vehicles and Equipment|Cleaners|Vehicles|and|Equipment,
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders|Cleaning,|Washing,|and|Metal|Pickling",
21-2011.00,Clergy,,Clergy|Clergy,
19-2041.01,Climate Change Policy Analysts,,Climate Change Policy Analysts|Climate|Change|Policy|Analysts,
19-3033.00,Clinical and Counseling Psychologists,,Clinical and Counseling Psychologists|Clinical|and|Counseling|Psychologists,
15-2051.02,Clinical Data Managers,,Clinical Data Managers|Clinical|Data|Managers,
19-3039.03,Clinical Neuropsychologists,,Clinical Neuropsychologists|Clinical|Neuropsychologists,
29-1141.04,Clinical Nurse Specialists,,Clinical Nurse Specialists|Clinical|Nurse|Specialists,
11-9121.01,Clinical Research Coordinators,,Clinical Research Coordinators|Clinical|Research|Coordinators,
27-2022.00,Coaches and Scouts,,Coaches and Scouts|Coaches|and|Scouts,
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|Coating,|Painting,|and|Spraying|Machine",
51-2021.00,"Coil Winders, Tapers, and Finishers",,"Coil Winders, Tapers, and Finishers|Coil|Winders,|Tapers,|and|Finishers",
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",,"Coin, Vending, and Amusement Machine Servicers and Repairers|Coin,|Vending,|and|Amusement|Machine",
55-1015.00,Command and Control Center Officers,,Command and Control Center Officers|Command|and|Control|Center|Officers,
55-3015.00,Command and Control Center Specialists,,Command and Control Center Specialists|Command|and|Control|Center|Specialists,
27-1021.00,Commercial and Industrial Designers,,Commercial and Industrial Designers|Commercial|and|Industrial|Designers,
49-9092.00,Commercial Divers,,Commercial Divers|Commercial|Divers,
53-2012.00,Commercial Pilots,,Commercial Pilots|Commercial|Pilots,
43-2099.00,"Communications Equipment Operators, All Other",,"Communications Equipment Operators, All Other|Communications|Equipment|Operators,|All|Other",
25-1122.00,"Communications Teachers, Postsecondary",,"Communications Teachers, Postsecondary|Communications|Teachers,|Postsecondary",
21-1099.00,"Community and Social Service Specialists, All Other",,"Community and Social Service Specialists, All Other|Community|and|Social|Service|Specialists,",
21-1094.00,Community Health Workers,,Community Health Workers|Community|Health|Workers,
11-3111.00,Compensation and Benefits Managers,,Compensation and Benefits Managers|Compensation|and|Benefits|Managers,
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",,"Compensation, Benefits, and Job Analysis Specialists|Compensation,|Benefits,|and|Job|Analysis",
11-9199.02,Compliance Managers,,Compliance Managers|Compliance|Managers,
13-1041.00,Compliance Officers,,Compliance Officers|Compliance|Officers,
15-1221.00,Computer and Information Research Scientists,,Computer and Information Research Scientists|Computer|and|Information|Research|Scientists,
11-3021.00,Computer and Information Systems Managers,,Computer and Information Systems Managers|Computer|and|Information|Systems|Managers,
17-2061.00,Computer Hardware Engineers,,Computer Hardware Engineers|Computer|Hardware|Engineers,
15-1241.00,Computer Network Architects,,Computer Network Architects|Computer|Network|Architects,
15-1231.00,Computer Network Support Specialists,,Computer Network Support Specialists|Computer|Network|Support|Specialists,
51-9161.00,Computer Numerically Controlled Tool Operators,,Computer Numerically Controlled Tool Operators|Computer|Numerically|Controlled|Tool|Operators,
51-9162.00,Computer Numerically Controlled Tool Programmers,,Computer Numerically Controlled Tool Programmers|Computer|Numerically|Controlled|Tool|Programmers,
15-1299.00,"Computer Occupations, All Other",,"Computer Occupations, All Other|Computer|Occupations,|All|Other",
15-1251.00,Computer Programmers,,Computer Programmers|Computer|Programmers,
25-1021.00,"Computer Science Teachers, Postsecondary",,"Computer Science Teachers, Postsecondary|Computer|Science|Teachers,|Postsecondary",
15-1211.00,Computer Systems Analysts,,Computer Systems Analysts|Computer|Systems|Analysts,
15-1299.08,Computer Systems Engineers/Architects,,Computer Systems Engineers/Architects|Computer|Systems|Engineers|Architects,
15-1232.00,Computer User Support Specialists,,Computer User Support Specialists|Computer|User|Support|Specialists,
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",,"Computer, Automated Teller, and Office Machine Repairers|Computer,|Automated|Teller,|and|Office",
39-6012.00,Concierges,,Concierges|Concierges,
19-1031.00,Conservation Scientists,,Conservation Scientists|Conservation|Scientists,
47-4011.00,Construction and Building Inspectors,,Construction and Building Inspectors|Construction|and|Building|Inspectors,
47-4099.00,"Construction and Related Workers, All Other",,"Construction and Related Workers, All Other|Construction|and|Related|Workers,|All",
47-2061.00,Construction Laborers,,Construction Laborers|Construction|Laborers,
11-9021.00,Construction Managers,,Construction Managers|Construction|Managers,
47-5041.00,Continuous Mining Machine Operators,,Continuous Mining Machine Operators|Continuous|Mining|Machine|Operators,
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",,"Control and Valve Installers and Repairers, Except Mechanical Door|Control|and|Valve|Installers|and",
53-7011.00,Conveyor Operators and Tenders,,Conveyor Operators and Tenders|Conveyor|Operators|and|Tenders,
35-2019.00,"Cooks, All Other",,"Cooks, All Other|Cooks,|All|Other",
35-2011.00,"Cooks, Fast Food",,"Cooks, Fast Food|Cooks,|Fast|Food",
35-2012.00,"Cooks, Institution and Cafeteria",,"Cooks, Institution and Cafeteria|Cooks,|Institution|and|Cafeteria",
35-2013.00,"Cooks, Private Household",,"Cooks, Private Household|Cooks,|Private|Household",
35-2014.00,"Cooks, Restaurant",,"Cooks, Restaurant|Cooks,|Restaurant",
35-2015.00,"Cooks, Short Order",,"Cooks, Short Order|Cooks,|Short|Order",
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,,Cooling and Freezing Equipment Operators and Tenders|Cooling|and|Freezing|Equipment|Operators,
13-1041.06,Coroners,,Coroners|Coroners,
33-3012.00,Correctional Officers and Jailers,,Correctional Officers and Jailers|Correctional|Officers|and|Jailers,
43-4021.00,Correspondence Clerks,,Correspondence Clerks|Correspondence|Clerks,
13-1051.00,Cost Estimators,,Cost Estimators|Cost|Estimators,
39-3092.00,Costume Attendants,,Costume Attendants|Costume|Attendants,
21-1019.00,"Counselors, All Other",,"Counselors, All Other|Counselors,|All|Other",
41-2021.00,Counter and Rental Clerks,,Counter and Rental Clerks|Counter|and|Rental|Clerks,
43-5021.00,Couriers and Messengers,,Couriers and Messengers|Couriers|and|Messengers,
27-3092.00,Court Reporters and Simultaneous Captioners,,Court Reporters and Simultaneous Captioners|Court|Reporters|and|Simultaneous|Captioners,
43-4031.00,"Court, Municipal, and License Clerks",,"Court, Municipal, and License Clerks|Court,|Municipal,|and|License|Clerks",
27-1012.00,Craft Artists,,Craft Artists|Craft|Artists,
53-7021.00,Crane and Tower Operators,,Crane and Tower Operators|Crane|and|Tower|Operators,
13-2041.00,Credit Analysts,,Credit Analysts|Credit|Analysts,
43-4041.00,"Credit Authorizers, Checkers, and Clerks",,"Credit Authorizers, Checkers, and Clerks|Credit|Authorizers,|Checkers,|and|Clerks",
13-2071.00,Credit Counselors,,Credit Counselors|Credit|Counselors,
39-4012.00,Crematory Operators,,Crematory Operators|Crematory|Operators,
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",,"Criminal Justice and Law Enforcement Teachers, Postsecondary|Criminal|Justice|and|Law|Enforcement",
29-1141.03,Critical Care Nurses,,Critical Care Nurses|Critical|Care|Nurses,
33-9091.00,Crossing Guards and Flaggers,,Crossing Guards and Flaggers|Crossing|Guards|and|Flaggers,
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders|Crushing,|Grinding,|and|Polishing|Machine",
25-4012.00,Curators,,Curators|Curators,
43-4051.00,Customer Service Representatives,,Customer Service Representatives|Customer|Service|Representatives,
33-3051.04,Customs and Border Protection Officers,,Customs and Border Protection Officers|Customs|and|Border|Protection|Officers,
13-1041.08,Customs Brokers,,Customs Brokers|Customs|Brokers,
51-9031.00,"Cutters and Trimmers, Hand",,"Cutters and Trimmers, Hand|Cutters|and|Trimmers,|Hand",
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",,"Cutting and Slicing Machine Setters, Operators, and Tenders|Cutting|and|Slicing|Machine|Setters,",
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic|Cutting,|Punching,|and|Press|Machine",
29-2011.01,Cytogenetic Technologists,,Cytogenetic Technologists|Cytogenetic|Technologists,
29-2011.02,Cytotechnologists,,Cytotechnologists|Cytotechnologists,
27-2031.00,Dancers,,Dancers|Dancers,
43-9021.00,Data Entry Keyers,,Data Entry Keyers|Data|Entry|Keyers,
15-2051.00,Data Scientists,,Data Scientists|Data|Scientists,
15-1243.01,Data Warehousing Specialists,,Data Warehousing Specialists|Data|Warehousing|Specialists,
15-1242.00,Database Administrators,,Database Administrators|Database|Administrators,
15-1243.00,Database Architects,,Database Architects|Database|Architects,
41-9011.00,Demonstrators and Product Promoters,,Demonstrators and Product Promoters|Demonstrators|and|Product|Promoters,
31-9091.00,Dental Assistants,,Dental Assistants|Dental|Assistants,
29-1292.00,Dental Hygienists,,Dental Hygienists|Dental|Hygienists,
51-9081.00,Dental Laboratory Technicians,,Dental Laboratory Technicians|Dental|Laboratory|Technicians,
29-1029.00,"Dentists, All Other Specialists",,"Dentists, All Other Specialists|Dentists,|All|Other|Specialists",
29-1021.00,"Dentists, General",,"Dentists, General|Dentists,|General",
29-1213.00,Dermatologists,,Dermatologists|Dermatologists,
47-5011.00,"Derrick Operators, Oil and Gas",,"Derrick Operators, Oil and Gas|Derrick|Operators,|Oil|and|Gas",
27-1029.00,"Designers, All Other",,"Designers, All Other|Designers,|All|Other",
43-9031.00,Desktop Publishers,,Desktop Publishers|Desktop|Publishers,
33-3021.00,Detectives and Criminal Investigators,,Detectives and Criminal Investigators|Detectives|and|Criminal|Investigators,
29-2032.00,Diagnostic Medical Sonographers,,Diagnostic Medical Sonographers|Diagnostic|Medical|Sonographers,
29-2051.00,Dietetic Technicians,,Dietetic Technicians|Dietetic|Technicians,
29-1031.00,Dietitians and Nutritionists,,Dietitians and Nutritionists|Dietitians|and|Nutritionists,
15-1299.06,Digital Forensics Analysts,,Digital Forensics Analysts|Digital|Forensics|Analysts,
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,,Dining Room and Cafeteria Attendants and Bartender Helpers|Dining|Room|and|Cafeteria|Attendants,
21-2021.00,"Directors, Religious Activities and Education",,"Directors, Religious Activities and Education|Directors,|Religious|Activities|and|Education",
27-2091.00,"Disc Jockeys, Except Radio",,"Disc Jockeys, Except Radio|Disc|Jockeys,|Except|Radio",
35-9021.00,Dishwashers,,Dishwashers|Dishwashers,
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",,"Dispatchers, Except Police, Fire, and Ambulance|Dispatchers,|Except|Police,|Fire,|and",
15-1299.03,Document Management Specialists,,Document Management Specialists|Document|Management|Specialists,
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers|Door|Door|Sales|Workers,|News",
17-3019.00,"Drafters, All Other",,"Drafters, All Other|Drafters,|All|Other",
53-7031.00,Dredge Operators,,Dredge Operators|Dredge|Operators,
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic|Drilling|and|Boring|Machine|Tool",
53-3031.00,Driver/Sales Workers,,Driver/Sales Workers|Driver|Sales|Workers,
47-2081.00,Drywall and Ceiling Tile Installers,,Drywall and Ceiling Tile Installers|Drywall|and|Ceiling|Tile|Installers,
47-5023.00,"Earth Drillers, Except Oil and Gas",,"Earth Drillers, Except Oil and Gas|Earth|Drillers,|Except|Oil|and",
